order_id,order_date,ship_date,ship_mode,customer_id,segment,postal_code,product_id,sales,quantity,discount,profit
CA-2020-103800,2020-01-03,2020-01-07,Standard Class,DP-13000,Consumer,77095,OFF-PA-10000174,16.448,2,0.2,5.5512
CA-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,Home Office,60540,OFF-LA-10003223,11.784,3,0.2,4.2717
CA-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,Home Office,60540,OFF-ST-10002743,272.736,3,0.2,-64.7748
CA-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,Home Office,60540,OFF-BI-10004094,3.54,2,0.8,-5.487
CA-2020-141817,2020-01-05,2020-01-12,Standard Class,MB-18085,Consumer,19143,OFF-AR-10003478,19.536,3,0.2,4.884
CA-2020-130813,2020-01-06,2020-01-08,Second Class,LS-17230,Consumer,90049,OFF-PA-10002005,19.44,3,0,9.3312
CA-2020-106054,2020-01-06,2020-01-07,First Class,JO-15145,Corporate,30605,OFF-AR-10002399,12.78,3,0,5.2398
CA-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Home Office,42420,FUR-CH-10004063,2573.82,9,0,746.4078
CA-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Home Office,42420,OFF-BI-10004632,609.98,2,0,274.491
CA-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Home Office,42420,OFF-AR-10001662,5.48,2,0,1.4796
CA-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Home Office,42420,TEC-PH-10004977,391.98,2,0,113.6742
CA-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Home Office,42420,TEC-PH-10004539,755.96,4,0,204.1092
CA-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Home Office,42420,OFF-FA-10001883,31.12,4,0,0.3112
CA-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,Home Office,42420,OFF-PA-10000955,6.54,1,0,3.0084
CA-2020-105417,2020-01-07,2020-01-12,Standard Class,VS-21820,Consumer,77340,FUR-FU-10004864,76.728,3,0.6,-53.7096
CA-2020-105417,2020-01-07,2020-01-12,Standard Class,VS-21820,Consumer,77340,OFF-BI-10003708,10.43,7,0.8,-18.2525
CA-2020-135405,2020-01-09,2020-01-13,Standard Class,MS-17830,Consumer,78041,OFF-AR-10004078,9.344,2,0.2,1.168
CA-2020-135405,2020-01-09,2020-01-13,Standard Class,MS-17830,Consumer,78041,TEC-AC-10001266,31.2,3,0.2,9.75
CA-2020-149020,2020-01-10,2020-01-15,Standard Class,AJ-10780,Corporate,22153,OFF-LA-10004272,2.89,1,0,1.3583
CA-2020-149020,2020-01-10,2020-01-15,Standard Class,AJ-10780,Corporate,22153,FUR-FU-10000965,51.94,1,0,21.2954
CA-2020-130092,2020-01-11,2020-01-14,First Class,SV-20365,Consumer,19901,FUR-FU-10000010,9.94,2,0,3.0814
CA-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,Corporate,71111,OFF-EN-10001990,11.36,2,0,5.3392
CA-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,Corporate,71111,OFF-EN-10001532,50.94,3,0,25.47
CA-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,Corporate,71111,TEC-AC-10003174,646.74,6,0,258.696
CA-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,Corporate,71111,OFF-BI-10004187,5.64,3,0,2.7072
CA-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,Corporate,71111,OFF-ST-10000025,572.58,6,0,34.3548
CA-2020-109232,2020-01-13,2020-01-16,Second Class,ND-18370,Consumer,29464,FUR-CH-10000422,545.94,6,0,87.3504
CA-2020-157147,2020-01-13,2020-01-18,Standard Class,BD-11605,Consumer,94109,OFF-ST-10000078,1325.85,5,0,238.653
CA-2020-157147,2020-01-13,2020-01-18,Standard Class,BD-11605,Consumer,94109,FUR-BO-10003034,333.999,3,0.15,3.9294
CA-2020-157147,2020-01-13,2020-01-18,Standard Class,BD-11605,Consumer,94109,OFF-AR-10003514,19.9,5,0,6.567
CA-2020-118192,2020-01-13,2020-01-18,Standard Class,MM-17920,Consumer,43055,OFF-PA-10002947,37.408,7,0.2,13.0928
CA-2020-118192,2020-01-13,2020-01-18,Standard Class,MM-17920,Consumer,43055,OFF-BI-10003476,3.438,2,0.7,-2.5212
CA-2020-149524,2020-01-14,2020-01-15,First Class,BS-11590,Corporate,19140,FUR-BO-10003433,61.96,4,0.5,-53.2856
CA-2020-103366,2020-01-15,2020-01-17,First Class,EH-13990,Consumer,30076,TEC-AC-10003628,149.95,5,0,65.978
CA-2020-115791,2020-01-16,2020-01-18,Second Class,DL-13315,Consumer,19134,FUR-FU-10001095,127.104,6,0.2,28.5984
CA-2020-115791,2020-01-16,2020-01-18,Second Class,DL-13315,Consumer,19134,TEC-PH-10004614,124.2,3,0.4,-31.05
CA-2020-115791,2020-01-16,2020-01-18,Second Class,DL-13315,Consumer,19134,OFF-BI-10001575,18.588,2,0.7,-13.6312
CA-2020-115791,2020-01-16,2020-01-18,Second Class,DL-13315,Consumer,19134,OFF-LA-10001074,30.072,3,0.2,10.1493
CA-2020-123477,2020-01-18,2020-01-21,Second Class,DW-13195,Corporate,97477,OFF-AP-10000692,64.864,4,0.2,6.4864
CA-2020-146591,2020-01-19,2020-01-20,First Class,TS-21340,Consumer,85254,OFF-BI-10003676,32.34,10,0.7,-23.716
CA-2020-146591,2020-01-19,2020-01-20,First Class,TS-21340,Consumer,85254,OFF-PA-10000659,56.064,4,0.2,19.6224
CA-2020-146591,2020-01-19,2020-01-20,First Class,TS-21340,Consumer,85254,OFF-EN-10002504,108.72,5,0.2,36.693
CA-2020-146591,2020-01-19,2020-01-20,First Class,TS-21340,Consumer,85254,FUR-BO-10001972,181.47,5,0.7,-320.597
US-2020-147627,2020-01-20,2020-01-26,Standard Class,HL-15040,Consumer,72401,TEC-PH-10001061,699.93,7,0,181.9818
US-2020-147627,2020-01-20,2020-01-26,Standard Class,HL-15040,Consumer,72401,OFF-AR-10002375,22.96,7,0,6.6584
US-2020-147627,2020-01-20,2020-01-26,Standard Class,HL-15040,Consumer,72401,FUR-FU-10003194,38.6,4,0,11.58
US-2020-147627,2020-01-20,2020-01-26,Standard Class,HL-15040,Consumer,72401,OFF-AR-10003811,6.63,3,0,1.7901
US-2020-147627,2020-01-20,2020-01-26,Standard Class,HL-15040,Consumer,72401,OFF-EN-10001539,23.34,3,0,10.9698
US-2020-147627,2020-01-20,2020-01-26,Standard Class,HL-15040,Consumer,72401,FUR-CH-10002331,1067.94,3,0,224.2674
CA-2020-148614,2020-01-20,2020-01-25,Standard Class,MV-17485,Consumer,90049,OFF-PA-10002893,19.36,2,0,9.2928
CA-2020-148614,2020-01-20,2020-01-25,Standard Class,MV-17485,Consumer,90049,FUR-FU-10003194,19.3,2,0,5.79
CA-2020-167927,2020-01-20,2020-01-26,Standard Class,XP-21865,Consumer,48185,OFF-ST-10000760,13.98,1,0,4.0542
CA-2020-167927,2020-01-20,2020-01-26,Standard Class,XP-21865,Consumer,48185,FUR-FU-10002918,272.94,3,0,30.0234
CA-2020-167927,2020-01-20,2020-01-26,Standard Class,XP-21865,Consumer,48185,OFF-BI-10000605,19.05,5,0,8.9535
CA-2020-167927,2020-01-20,2020-01-26,Standard Class,XP-21865,Consumer,48185,OFF-AP-10002311,247.716,4,0.1,93.5816
CA-2020-167927,2020-01-20,2020-01-26,Standard Class,XP-21865,Consumer,48185,OFF-ST-10003123,66.58,2,0,15.9792
CA-2020-167927,2020-01-20,2020-01-26,Standard Class,XP-21865,Consumer,48185,OFF-AR-10004456,43.92,3,0,12.7368
CA-2020-167927,2020-01-20,2020-01-26,Standard Class,XP-21865,Consumer,48185,FUR-FU-10002268,14.73,3,0,4.8609
CA-2020-167927,2020-01-20,2020-01-26,Standard Class,XP-21865,Consumer,48185,OFF-BI-10004364,29.7,5,0,13.365
US-2020-147774,2020-01-20,2020-01-26,Standard Class,MM-18280,Corporate,37167,OFF-BI-10003091,67.194,1,0.7,-51.5154
CA-2020-110422,2020-01-21,2020-01-23,Second Class,TB-21400,Consumer,33180,FUR-FU-10001889,25.248,3,0.2,4.1028
CA-2020-102645,2020-01-23,2020-01-28,Standard Class,IM-15055,Consumer,89115,OFF-PA-10001804,40.08,6,0,19.2384
CA-2020-146997,2020-01-23,2020-01-27,Standard Class,SG-20605,Consumer,47905,OFF-FA-10003467,5.94,3,0,0
US-2020-155502,2020-01-26,2020-01-31,Standard Class,SD-20485,Home Office,22304,FUR-FU-10004587,62.82,3,0,30.7818
US-2020-155502,2020-01-26,2020-01-31,Standard Class,SD-20485,Home Office,22304,OFF-ST-10004337,489.92,8,0,0
US-2020-155502,2020-01-26,2020-01-31,Standard Class,SD-20485,Home Office,22304,OFF-PA-10003072,19.44,3,0,9.3312
US-2020-155502,2020-01-26,2020-01-31,Standard Class,SD-20485,Home Office,22304,OFF-PA-10000380,16.68,2,0,8.34
US-2020-155502,2020-01-26,2020-01-31,Standard Class,SD-20485,Home Office,22304,TEC-PH-10004833,155.35,13,0,0
US-2020-155502,2020-01-26,2020-01-31,Standard Class,SD-20485,Home Office,22304,FUR-FU-10001847,12.42,3,0,4.4712
US-2020-155502,2020-01-26,2020-01-31,Standard Class,SD-20485,Home Office,22304,TEC-PH-10002103,187.98,2,0,52.6344
CA-2020-167997,2020-01-26,2020-01-29,First Class,CA-11965,Corporate,57701,OFF-BI-10001758,10.68,2,0,5.0196
CA-2020-167997,2020-01-26,2020-01-29,First Class,CA-11965,Corporate,57701,FUR-BO-10004409,141.96,2,0,39.7488
US-2020-117163,2020-01-27,2020-02-02,Standard Class,EJ-13720,Consumer,92037,OFF-ST-10003692,57.23,1,0,14.3075
US-2020-117163,2020-01-27,2020-02-02,Standard Class,EJ-13720,Consumer,92037,FUR-TA-10003469,333,3,0.2,-16.65
US-2020-117163,2020-01-27,2020-02-02,Standard Class,EJ-13720,Consumer,92037,OFF-AR-10003179,36.44,4,0,12.0252
CA-2020-100328,2020-01-28,2020-02-03,Standard Class,JC-15340,Consumer,10024,OFF-BI-10000343,3.928,1,0.2,1.3257
CA-2020-134103,2020-01-30,2020-02-04,Standard Class,MV-18190,Consumer?,48234,OFF-PA-10001204,10.56,2,0,4.752
CA-2020-134103,2020-01-30,2020-02-04,Standard Class,MV-18190,Consumer,48234,OFF-ST-10000991,229.94,2,0,6.8982
CA-2020-115161,2020-01-31,2020-02-02,First Class,LC-17050,Consumer,92691,FUR-BO-10003966,290.666,2,0.15,3.4196
CA-2020-140795,2020-02-01,2020-02-03,First Class,BD-11500,Consumer,54302,TEC-AC-10001432,468.9,6,0,206.316
CA-2020-139857,2020-02-02,2020-02-06,Standard Class,CD-12790,Home Office,92037,OFF-FA-10001843,12.35,5,0,5.8045
CA-2020-123400,2020-02-02,2020-02-09,Standard Class,EB-13930,Consumer,33710,OFF-BI-10000666,18.336,2,0.7,-12.224
CA-2020-123400,2020-02-02,2020-02-09,Standard Class,EB-13930,Consumer,33710,TEC-PH-10002890,180.96,5,0.2,13.572
CA-2020-111059,2020-02-03,2020-02-06,Second Class,TB-21400,Consumer,98105,OFF-BI-10004593,83.84,2,0.2,27.248
CA-2020-111059,2020-02-03,2020-02-06,Second Class,TB-21400,Consumer,98105,OFF-BI-10002827,13.272,3,0.2,4.3134
CA-2020-107181,2020-02-04,2020-02-08,Standard Class,DB-13270,Home Office,92024,OFF-BI-10004230,82.896,3,0.2,29.0136
CA-2020-107181,2020-02-04,2020-02-08,Standard Class,DB-13270,Home Office,92024,OFF-PA-10000350,34.24,4,0,16.0928
CA-2020-104808,2020-02-04,2020-02-08,Second Class,MH-17440,Corporate,92025,OFF-BI-10003676,17.248,2,0.2,6.0368
CA-2020-131905,2020-02-06,2020-02-09,First Class,ND-18460,Corporate,23320,OFF-LA-10002787,15,4,0,7.2
CA-2020-131905,2020-02-06,2020-02-09,First Class,ND-18460,Corporate,23320,TEC-PH-10003645,161.61,1,0,42.0186
CA-2020-131905,2020-02-06,2020-02-09,First Class,ND-18460,Corporate,23320,TEC-PH-10001615,144.95,5,0,42.0355
CA-2020-108182,2020-02-06,2020-02-10,Second Class,DL-13315,Consumer,60441,OFF-BI-10001196,8.952,2,0.8,-14.7708
CA-2020-107755,2020-02-07,2020-02-12,Standard Class,CK-12760,Corporate,7036,TEC-AC-10000710,115.36,7,0,49.6048
US-2020-169390,2020-02-07,2020-02-10,Second Class,CS-12250,Corporate,10024,OFF-ST-10001558,64.96,4,0,9.744
CA-2020-125759,2020-02-08,2020-02-09,First Class,NM-18445, Home Office,89031,FUR-FU-10002111,14.56,2,0,5.5328
CA-2020-127614,2020-02-11,2020-02-15,Standard Class,NF-18385,Consumer,23320,TEC-AC-10001432,234.45,3,0,103.158
CA-2020-127614,2020-02-11,2020-02-15,Standard Class,NF-18385,Consumer,23320,FUR-TA-10003715,1256.22,6,0,75.3732
CA-2020-127614,2020-02-11,2020-02-15,Standard Class,NF-18385,Consumer,23320,OFF-BI-10003291,17.46,2,0,8.2062
CA-2020-168368,2020-02-11,2020-02-15,Second Class,GA-14725,Consumer,65203,FUR-CH-10001146,60.89,1,0,15.2225
CA-2020-168368,2020-02-11,2020-02-15,Second Class,GA-14725,Consumer,65203,OFF-LA-10004853,14.94,3,0,6.8724
CA-2020-168368,2020-02-11,2020-02-15,Second Class,GA-14725,Consumer,65203,OFF-BI-10004728,9.64,2,0,4.4344
CA-2020-168368,2020-02-11,2020-02-15,Second Class,GA-14725,Consumer,65203,FUR-FU-10002298,332.94,3,0,53.2704
CA-2020-168368,2020-02-11,2020-02-15,Second Class,GA-14725,Consumer,65203,OFF-BI-10004654,51.9,3,0,24.393
CA-2020-168368,2020-02-11,2020-02-15,Second Class,GA-14725, Consumer,65203,OFF-ST-10002583,64.96,2,0,2.5984
